| Name                         | Version             | License                                                          |
|------------------------------|---------------------|------------------------------------------------------------------|
| DateTime                     | 4.3                 | Zope Public License                                              |
| Eel                          | 0.12.4              | UNKNOWN                                                          |
| Jinja2                       | 3.0.3               | BSD License                                                      |
| Keras-Preprocessing          | 1.1.2               | MIT License                                                      |
| Markdown                     | 3.3.6               | BSD License                                                      |
| MarkupSafe                   | 2.1.0               | BSD License                                                      |
| Pillow                       | 8.4.0               | Historical Permission Notice and Disclaimer (HPND)               |
| PyQt5                        | 5.15.6              | GPL v3                                                           |
| PyQt5-Qt5                    | 5.15.2              | LGPL v3                                                          |
| PyQt5-sip                    | 12.9.0              | SIP                                                              |
| Pygments                     | 2.11.2              | BSD License                                                      |
| QtPy                         | 2.0.1               | MIT License                                                      |
| Send2Trash                   | 1.8.0               | BSD License                                                      |
| Werkzeug                     | 2.0.2               | BSD License                                                      |
| absl-py                      | 1.0.0               | Apache Software License                                          |
| altgraph                     | 0.17.2              | MIT License                                                      |
| argon2-cffi                  | 21.3.0              | MIT License                                                      |
| argon2-cffi-bindings         | 21.2.0              | MIT License                                                      |
| asttokens                    | 2.0.5               | Apache 2.0                                                       |
| astunparse                   | 1.6.3               | BSD License                                                      |
| attrs                        | 21.4.0              | MIT License                                                      |
| auto-py-to-exe               | 2.11.0              | MIT License                                                      |
| backcall                     | 0.2.0               | BSD License                                                      |
| black                        | 22.1.0              | MIT License                                                      |
| bleach                       | 4.1.0               | Apache Software License                                          |
| bottle                       | 0.12.19             | MIT License                                                      |
| bottle-websocket             | 0.2.9               | MIT License                                                      |
| cachetools                   | 4.2.4               | MIT License                                                      |
| certifi                      | 2021.10.8           | Mozilla Public License 2.0 (MPL 2.0)                             |
| cffi                         | 1.15.0              | MIT License                                                      |
| charset-normalizer           | 2.0.9               | MIT License                                                      |
| click                        | 8.0.4               | BSD License                                                      |
| colorama                     | 0.4.4               | BSD License                                                      |
| cycler                       | 0.11.0              | BSD License                                                      |
| debugpy                      | 1.5.1               | Eclipse Public License 2.0 (EPL-2.0); MIT License                |
| decorator                    | 5.1.1               | BSD License                                                      |
| defusedxml                   | 0.7.1               | Python Software Foundation License                               |
| distlib                      | 0.3.4               | Python Software Foundation License                               |
| entrypoints                  | 0.4                 | MIT License                                                      |
| executing                    | 0.8.2               | MIT License                                                      |
| filelock                     | 3.6.0               | Public Domain                                                    |
| flatbuffers                  | 2.0                 | Apache Software License                                          |
| fonttools                    | 4.28.5              | MIT License                                                      |
| future                       | 0.18.2              | MIT License                                                      |
| gast                         | 0.4.0               | BSD License                                                      |
| gevent                       | 21.8.0              | MIT License                                                      |
| gevent-websocket             | 0.10.1              | Copyright 2011-2017 Jeffrey Gelens <jeffrey@noppo.pro>           |
| google-auth                  | 2.3.3               | Apache Software License                                          |
| google-auth-oauthlib         | 0.4.6               | Apache Software License                                          |
| google-pasta                 | 0.2.0               | Apache Software License                                          |
| greenlet                     | 1.1.2               | MIT License                                                      |
| grpcio                       | 1.43.0              | Apache Software License                                          |
| h5py                         | 3.6.0               | BSD License                                                      |
| idna                         | 3.3                 | BSD License                                                      |
| importlib-metadata           | 4.10.0              | Apache Software License                                          |
| ipykernel                    | 6.9.1               | BSD License                                                      |
| ipython                      | 8.0.1               | BSD License                                                      |
| ipython-genutils             | 0.2.0               | BSD License                                                      |
| ipywidgets                   | 7.6.5               | BSD License                                                      |
| jedi                         | 0.18.1              | MIT License                                                      |
| joblib                       | 1.1.0               | BSD License                                                      |
| jsonschema                   | 4.4.0               | MIT License                                                      |
| jupyter                      | 1.0.0               | BSD License                                                      |
| jupyter-client               | 7.1.2               | BSD License                                                      |
| jupyter-console              | 6.4.0               | BSD License                                                      |
| jupyter-core                 | 4.9.2               | BSD License                                                      |
| jupyterlab-pygments          | 0.1.2               | BSD                                                              |
| jupyterlab-widgets           | 1.0.2               | BSD License                                                      |
| keras                        | 2.8.0               | Apache Software License                                          |
| kiwisolver                   | 1.3.2               | BSD License                                                      |
| libclang                     | 12.0.0              | Apache Software License                                          |
| matplotlib                   | 3.5.1               | Python Software Foundation License                               |
| matplotlib-inline            | 0.1.3               | BSD 3-Clause                                                     |
| mistune                      | 0.8.4               | BSD License                                                      |
| mypy-extensions              | 0.4.3               | MIT License                                                      |
| nbclient                     | 0.5.11              | BSD License                                                      |
| nbconvert                    | 6.4.2               | BSD License                                                      |
| nbformat                     | 5.1.3               | BSD License                                                      |
| nest-asyncio                 | 1.5.4               | BSD License                                                      |
| notebook                     | 6.4.8               | BSD License                                                      |
| numpy                        | 1.21.5              | BSD License                                                      |
| oauthlib                     | 3.1.1               | BSD License                                                      |
| opt-einsum                   | 3.3.0               | MIT                                                              |
| packaging                    | 21.3                | Apache Software License; BSD License                             |
| panda                        | 0.3.1               | MIT License                                                      |
| pandas                       | 1.3.5               | BSD License                                                      |
| pandocfilters                | 1.5.0               | BSD License                                                      |
| parso                        | 0.8.3               | MIT License                                                      |
| pathspec                     | 0.9.0               | Mozilla Public License 2.0 (MPL 2.0)                             |
| pefile                       | 2021.9.3            | MIT                                                              |
| pickleshare                  | 0.7.5               | MIT License                                                      |
| platformdirs                 | 2.5.1               | MIT License                                                      |
| prometheus-client            | 0.13.1              | Apache Software License                                          |
| prompt-toolkit               | 3.0.28              | BSD License                                                      |
| protobuf                     | 3.19.1              | 3-Clause BSD License                                             |
| pure-eval                    | 0.2.2               | MIT License                                                      |
| pyasn1                       | 0.4.8               | BSD License                                                      |
| pyasn1-modules               | 0.2.8               | BSD License                                                      |
| pycparser                    | 2.21                | BSD License                                                      |
| pyinstaller                  | 4.7                 | GNU General Public License v2 (GPLv2)                            |
| pyinstaller-hooks-contrib    | 2021.3              | UNKNOWN                                                          |
| pyparsing                    | 3.0.6               | MIT License                                                      |
| pypiwin32                    | 223                 | UNKNOWN                                                          |
| pyqt5-plugins                | 5.15.4.2.2          | GNU General Public License v3 (GPLv3)                            |
| pyqt5-tools                  | 5.15.4.3.2          | GNU General Public License v3 (GPLv3)                            |
| pyqtgraph                    | 0.12.3              | MIT License                                                      |
| pyrsistent                   | 0.18.1              | MIT License                                                      |
| python-dateutil              | 2.8.2               | Apache Software License; BSD License                             |
| python-dotenv                | 0.19.2              | BSD License                                                      |
| pytz                         | 2021.3              | MIT License                                                      |
| pywin32                      | 303                 | Python Software Foundation License                               |
| pywin32-ctypes               | 0.2.0               | BSD                                                              |
| pywinpty                     | 2.0.2               | MIT                                                              |
| pyzmq                        | 22.3.0              | BSD License; GNU Library or Lesser General Public License (LGPL) |
| qt5-applications             | 5.15.2.2.2          | GNU Lesser General Public License v3 (LGPLv3)                    |
